[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010659s ]
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | SQL: SHOW COLUMNS FROM `lj_user` [ RunTime:0.005556s ]
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | SQL: SELECT * FROM `lj_user` WHERE ( `username` = 'admin' ) AND ( `status` > 0 ) LIMIT 1   [ RunTime:0.000672s ]
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | SQL: UPDATE `lj_user` SET `last_login_time`=1414115948,`login_count`=login_count+1,`last_login_ip`='127.0.0.1' WHERE ( `id` = '1' ) [ RunTime:0.095536s ]
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Tag[ view_template ] --START--
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.006138s ]
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.006358s ]
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.023139s ]
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023287s ]
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.002529s ]
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.002770s ]
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.005468s ]
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.003442s ]
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.014527s ]
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Tag[ view_end ] --START--
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.002810s ]
[ 2014-10-24T09:59:08+08:00 ] /Public/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.002889s ]
[ 2014-10-24T09:59:09+08:00 ] /Index/index | INFO: Tag[ route_check ] --START--
[ 2014-10-24T09:59:09+08:00 ] /Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.002976s ]
