[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.003093s ]
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.004738s ]
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003791s ]
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Run CheckLang Behavior [ RunTime:0.005223s ]
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010747s ]
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.003848s ]
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.005043s ]
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.062083s ]
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.063297s ]
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.002823s ]
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.004632s ]
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001664s ]
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.005267s ]
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.017515s ]
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_end ] --START--
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002242s ]
[ 2014-10-29T09:59:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.003331s ]
[ 2014-10-29T09:59:33+08:00 ] /Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-10-29T09:59:33+08:00 ] /Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.003675s ]
[ 2014-10-29T09:59:33+08:00 ] /Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.004846s ]
[ 2014-10-29T09:59:33+08:00 ] /Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-10-29T09:59:33+08:00 ] /Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003460s ]
[ 2014-10-29T09:59:33+08:00 ] /Public/verify | INFO: Run CheckLang Behavior [ RunTime:0.006699s ]
[ 2014-10-29T09:59:33+08:00 ] /Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011888s ]
[ 2014-10-29T09:59:33+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2014-10-29T09:59:33+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2014-10-29T09:59:48+08:00 ] /Public/checkLogin | INFO: Tag[ route_check ] --START--
[ 2014-10-29T09:59:48+08:00 ] /Public/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002755s ]
[ 2014-10-29T09:59:48+08:00 ] /Public/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.003923s ]
[ 2014-10-29T09:59:48+08:00 ] /Public/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2014-10-29T09:59:48+08:00 ] /Public/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003479s ]
[ 2014-10-29T09:59:48+08:00 ] /Public/checkLogin | INFO: Run CheckLang Behavior [ RunTime:0.005432s ]
[ 2014-10-29T09:59:48+08:00 ] /Public/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010706s ]
[ 2014-10-29T09:59:48+08:00 ] /Public/checkLogin | SQL: SHOW COLUMNS FROM `lj_user` [ RunTime:0.070430s ]
[ 2014-10-29T09:59:48+08:00 ] /Public/checkLogin | SQL: SELECT * FROM `lj_user` WHERE ( `username` = 'admin' ) AND ( `status` > 0 ) LIMIT 1   [ RunTime:0.001188s ]
