[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Tag[ app_begin ] --START--
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000536s ]
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Run CheckLang Behavior [ RunTime:0.000982s ]
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001633s ]
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: type MemberAction.class.php 第 24 行.
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: auth MemberAction.class.php 第 25 行.
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: status MemberAction.class.php 第 26 行.
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | SQL: SHOW COLUMNS FROM `lj_member` [ RunTime:0.004877s ]
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | SQL: SELECT COUNT(id) AS tp_count FROM `lj_member` WHERE status = 1 LIMIT 1   [ RunTime:0.000367s ]
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: page MemberAction.class.php 第 49 行.
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: list MemberAction.class.php 第 50 行.
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Tag[ view_template ] --START--
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Run LocationTemplate Behavior [ RunTime:0.001581s ]
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Tag[ view_template ] --END-- [ RunTime:0.001667s ]
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Tag[ view_parse ] --START--
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: first bef4bd0f8de2f9e7c61e27f50758b6f7.php 第 54 行.
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: category bef4bd0f8de2f9e7c61e27f50758b6f7.php 第 312 行.
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Run ParseTemplate Behavior [ RunTime:0.045468s ]
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Tag[ view_parse ] --END-- [ RunTime:0.045544s ]
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Tag[ view_filter ] --START--
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Run ContentReplace Behavior [ RunTime:0.000515s ]
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Run TokenBuild Behavior [ RunTime:0.000522s ]
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000280s ]
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Run ShowRuntime Behavior [ RunTime:0.000525s ]
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002022s ]
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Tag[ view_end ] --START--
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Run ShowPageTrace Behavior [ RunTime:0.000405s ]
[ 2014-10-23T15:36:38+08:00 ] /Admin/Member | INFO: Tag[ view_end ] --END-- [ RunTime:0.000468s ]
[ 2014-10-23T15:36:38+08:00 ] /Public/Images/icon_search.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T15:36:38+08:00 ] /Public/Images/icon_add.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T15:36:38+08:00 ] /Public/Images/loading2.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T15:36:38+08:00 ] /Public/Images/th_bg.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Tag[ route_check ] --START--
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Run CheckRoute Behavior [ RunTime:0.000961s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Tag[ route_check ] --END-- [ RunTime:0.001108s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Tag[ app_begin ] --START--
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000550s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Run CheckLang Behavior [ RunTime:0.000990s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001658s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: type MemberAction.class.php 第 24 行.
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: auth MemberAction.class.php 第 25 行.
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: status MemberAction.class.php 第 26 行.
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | SQL: SHOW COLUMNS FROM `lj_member` [ RunTime:0.005692s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | SQL: SELECT COUNT(id) AS tp_count FROM `lj_member` WHERE status = 1 LIMIT 1   [ RunTime:0.000967s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: page MemberAction.class.php 第 49 行.
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: list MemberAction.class.php 第 50 行.
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Tag[ view_template ] --START--
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Run LocationTemplate Behavior [ RunTime:0.001460s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Tag[ view_template ] --END-- [ RunTime:0.001537s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Tag[ view_parse ] --START--
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: first bef4bd0f8de2f9e7c61e27f50758b6f7.php 第 54 行.
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: category bef4bd0f8de2f9e7c61e27f50758b6f7.php 第 312 行.
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Run ParseTemplate Behavior [ RunTime:0.019666s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019739s ]
