[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.004031s ]
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.005315s ]
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003530s ]
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Run CheckLang Behavior [ RunTime:0.007101s ]
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012462s ]
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.003163s ]
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.004438s ]
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.059263s ]
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.060589s ]
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.003028s ]
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.005336s ]
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001667s ]
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.004817s ]
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.017994s ]
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_end ] --START--
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002291s ]
[ 2014-10-28T10:00:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.003430s ]
[ 2014-10-28T10:00:33+08:00 ] /Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-10-28T10:00:33+08:00 ] /Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.004931s ]
[ 2014-10-28T10:00:33+08:00 ] /Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.006441s ]
[ 2014-10-28T10:00:33+08:00 ] /Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-10-28T10:00:33+08:00 ] /Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003543s ]
[ 2014-10-28T10:00:33+08:00 ] /Public/verify | INFO: Run CheckLang Behavior [ RunTime:0.006236s ]
[ 2014-10-28T10:00:33+08:00 ] /Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011585s ]
[ 2014-10-28T10:00:34+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2014-10-28T10:00:34+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2014-10-28T10:00:47+08:00 ] /Public/checkLogin | INFO: Tag[ route_check ] --START--
[ 2014-10-28T10:00:47+08:00 ] /Public/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002874s ]
[ 2014-10-28T10:00:47+08:00 ] /Public/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.004014s ]
[ 2014-10-28T10:00:47+08:00 ] /Public/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2014-10-28T10:00:47+08:00 ] /Public/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003257s ]
[ 2014-10-28T10:00:47+08:00 ] /Public/checkLogin | INFO: Run CheckLang Behavior [ RunTime:0.005742s ]
[ 2014-10-28T10:00:47+08:00 ] /Public/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010831s ]
[ 2014-10-28T10:00:47+08:00 ] /Public/checkLogin | SQL: SHOW COLUMNS FROM `lj_user` [ RunTime:0.044250s ]
[ 2014-10-28T10:00:47+08:00 ] /Public/checkLogin | SQL: SELECT * FROM `lj_user` WHERE ( `username` = 'admin' ) AND ( `status` > 0 ) LIMIT 1   [ RunTime:0.000678s ]
[ 2014-10-28T10:00:47+08:00 ] /Public/checkLogin | SQL: UPDATE `lj_user` SET `last_login_time`=1414461647,`login_count`=login_count+1,`last_login_ip`='127.0.0.1' WHERE ( `id` = '1' ) [ RunTime:0.001973s ]
