[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.003381s ]
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.004567s ]
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004355s ]
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Run CheckLang Behavior [ RunTime:0.006442s ]
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.013016s ]
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.003791s ]
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.005028s ]
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.075085s ]
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.076352s ]
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.003013s ]
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.004952s ]
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001637s ]
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.005581s ]
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.018434s ]
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Tag[ view_end ] --START--
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002686s ]
[ 2014-10-31T09:56:13+08:00 ] /Admin/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.003992s ]
[ 2014-10-31T09:56:14+08:00 ] /Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-10-31T09:56:14+08:00 ] /Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002943s ]
[ 2014-10-31T09:56:14+08:00 ] /Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.004127s ]
[ 2014-10-31T09:56:14+08:00 ] /Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T09:56:14+08:00 ] /Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003424s ]
[ 2014-10-31T09:56:14+08:00 ] /Public/verify | INFO: Run CheckLang Behavior [ RunTime:0.005861s ]
[ 2014-10-31T09:56:14+08:00 ] /Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011606s ]
[ 2014-10-31T09:56:14+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2014-10-31T09:56:14+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2014-10-31T09:56:14+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2014-10-31T09:56:45+08:00 ] /Public/verify?0.5559796696102405 | INFO: Tag[ route_check ] --START--
[ 2014-10-31T09:56:45+08:00 ] /Public/verify?0.5559796696102405 | INFO: Run CheckRoute Behavior [ RunTime:0.003156s ]
[ 2014-10-31T09:56:45+08:00 ] /Public/verify?0.5559796696102405 | INFO: Tag[ route_check ] --END-- [ RunTime:0.004735s ]
[ 2014-10-31T09:56:45+08:00 ] /Public/verify?0.5559796696102405 | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T09:56:45+08:00 ] /Public/verify?0.5559796696102405 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003284s ]
[ 2014-10-31T09:56:45+08:00 ] /Public/verify?0.5559796696102405 | INFO: Run CheckLang Behavior [ RunTime:0.005357s ]
[ 2014-10-31T09:56:45+08:00 ] /Public/verify?0.5559796696102405 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010452s ]
[ 2014-10-31T10:00:32+08:00 ] /Public/verify?0.8058346808554441 | INFO: Tag[ route_check ] --START--
[ 2014-10-31T10:00:32+08:00 ] /Public/verify?0.8058346808554441 | INFO: Run CheckRoute Behavior [ RunTime:0.003112s ]
[ 2014-10-31T10:00:32+08:00 ] /Public/verify?0.8058346808554441 | INFO: Tag[ route_check ] --END-- [ RunTime:0.004213s ]
