[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.003612s ]
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.004867s ]
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003853s ]
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Run CheckLang Behavior [ RunTime:0.006368s ]
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011984s ]
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.003900s ]
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.005064s ]
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.070292s ]
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.071494s ]
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.003375s ]
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.005154s ]
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002088s ]
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.005148s ]
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.018959s ]
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Tag[ view_end ] --START--
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002583s ]
[ 2014-10-27T10:04:20+08:00 ] /Admin/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.003687s ]
[ 2014-10-27T10:04:20+08:00 ] /Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-10-27T10:04:20+08:00 ] /Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.004579s ]
[ 2014-10-27T10:04:20+08:00 ] /Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.006144s ]
[ 2014-10-27T10:04:20+08:00 ] /Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-10-27T10:04:20+08:00 ] /Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003606s ]
[ 2014-10-27T10:04:20+08:00 ] /Public/verify | INFO: Run CheckLang Behavior [ RunTime:0.006372s ]
[ 2014-10-27T10:04:20+08:00 ] /Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012505s ]
[ 2014-10-27T10:04:20+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2014-10-27T10:04:20+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Tag[ route_check ] --START--
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.003607s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.004902s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003771s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Run CheckLang Behavior [ RunTime:0.007612s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.013736s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | SQL: SHOW COLUMNS FROM `lj_user` [ RunTime:0.100259s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | SQL: SELECT * FROM `lj_user` WHERE ( `username` = 'admin' ) AND ( `status` > 0 ) LIMIT 1   [ RunTime:0.000906s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | SQL: UPDATE `lj_user` SET `last_login_time`=1414375472,`login_count`=login_count+1,`last_login_ip`='127.0.0.1' WHERE ( `id` = '1' ) [ RunTime:0.009286s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Tag[ view_template ] --START--
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.002709s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.003836s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.054671s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.056106s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.003327s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.003671s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001814s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.005009s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.017017s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Tag[ view_end ] --START--
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.003397s ]
[ 2014-10-27T10:04:32+08:00 ] /Public/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.004843s ]
[ 2014-10-27T10:04:34+08:00 ] /Index/index | INFO: Tag[ route_check ] --START--
[ 2014-10-27T10:04:34+08:00 ] /Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.003668s ]
[ 2014-10-27T10:04:34+08:00 ] /Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.004941s ]
[ 2014-10-27T10:04:34+08:00 ] /Index/index | INFO: Tag[ app_begin ] --START--
[ 2014-10-27T10:04:34+08:00 ] /Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004220s ]
[ 2014-10-27T10:04:34+08:00 ] /Index/index | INFO: Run CheckLang Behavior [ RunTime:0.007206s ]
[ 2014-10-27T10:04:34+08:00 ] /Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.013427s ]
[ 2014-10-27T10:04:34+08:00 ] /Index/index | SQL: SHOW COLUMNS FROM `lj_menu` [ RunTime:0.044507s ]
[ 2014-10-27T10:04:34+08:00 ] /Index/index | SQL: SELECT `id`,`name`,`url`,`child` FROM `lj_menu` WHERE status=1 ORDER BY sort asc  [ RunTime:0.000629s ]
[ 2014-10-27T10:04:34+08:00 ] /Index/index | SQL: SHOW COLUMNS FROM `lj_rbac_node` [ RunTime:0.034939s ]
[ 2014-10-27T10:04:34+08:00 ] /Index/index | SQL: SELECT `id`,`name`,`title`,`pid` FROM `lj_rbac_node` WHERE pid=1 ORDER BY sort desc  [ RunTime:0.010639s ]
[ 2014-10-27T10:04:34+08:00 ] /Index/index | SQL: SHOW COLUMNS FROM `lj_quick` [ RunTime:0.045066s ]
