[ 2014-10-30T10:09:33+08:00 ] /Admin/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-10-30T10:09:33+08:00 ] /Admin/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.003501s ]
[ 2014-10-30T10:09:33+08:00 ] /Admin/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.004804s ]
[ 2014-10-30T10:09:33+08:00 ] /Admin/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-10-30T10:09:33+08:00 ] /Admin/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003735s ]
[ 2014-10-30T10:09:33+08:00 ] /Admin/Public/login | INFO: Run CheckLang Behavior [ RunTime:0.005570s ]
[ 2014-10-30T10:09:33+08:00 ] /Admin/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011182s ]
[ 2014-10-30T10:09:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-10-30T10:09:33+08:00 ] /Admin/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.003119s ]
[ 2014-10-30T10:09:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.004304s ]
[ 2014-10-30T10:09:33+08:00 ] /Admin/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-10-30T10:09:34+08:00 ] /Admin/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.058293s ]
[ 2014-10-30T10:09:34+08:00 ] /Admin/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.059532s ]
[ 2014-10-30T10:09:34+08:00 ] /Admin/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-10-30T10:09:34+08:00 ] /Admin/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.003097s ]
[ 2014-10-30T10:09:34+08:00 ] /Admin/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.004485s ]
[ 2014-10-30T10:09:34+08:00 ] /Admin/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001550s ]
[ 2014-10-30T10:09:34+08:00 ] /Admin/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.004735s ]
[ 2014-10-30T10:09:34+08:00 ] /Admin/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.017262s ]
[ 2014-10-30T10:09:34+08:00 ] /Admin/Public/login | INFO: Tag[ view_end ] --START--
[ 2014-10-30T10:09:34+08:00 ] /Admin/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002865s ]
[ 2014-10-30T10:09:34+08:00 ] /Admin/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.004060s ]
[ 2014-10-30T10:09:34+08:00 ] /Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-10-30T10:09:34+08:00 ] /Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.003388s ]
[ 2014-10-30T10:09:34+08:00 ] /Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.004570s ]
[ 2014-10-30T10:09:34+08:00 ] /Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-10-30T10:09:34+08:00 ] /Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004074s ]
[ 2014-10-30T10:09:34+08:00 ] /Public/verify | INFO: Run CheckLang Behavior [ RunTime:0.006316s ]
[ 2014-10-30T10:09:34+08:00 ] /Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012231s ]
[ 2014-10-30T10:09:34+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2014-10-30T10:09:34+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2014-10-30T10:09:34+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Tag[ route_check ] --START--
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002852s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.004002s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003370s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Run CheckLang Behavior [ RunTime:0.005283s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010484s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | SQL: SHOW COLUMNS FROM `lj_user` [ RunTime:0.045743s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | SQL: SELECT * FROM `lj_user` WHERE ( `username` = 'admin' ) AND ( `status` > 0 ) LIMIT 1   [ RunTime:0.000682s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | SQL: UPDATE `lj_user` SET `last_login_time`=1414634984,`login_count`=login_count+1,`last_login_ip`='127.0.0.1' WHERE ( `id` = '1' ) [ RunTime:0.010962s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Tag[ view_template ] --START--
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.002745s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.004026s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.060089s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.061300s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.002525s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.003131s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001393s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.004603s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.014836s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Tag[ view_end ] --START--
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.002505s ]
[ 2014-10-30T10:09:44+08:00 ] /Public/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.003646s ]
[ 2014-10-30T10:09:45+08:00 ] /Index/index | INFO: Tag[ route_check ] --START--
[ 2014-10-30T10:09:45+08:00 ] /Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.002739s ]
[ 2014-10-30T10:09:45+08:00 ] /Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003822s ]
[ 2014-10-30T10:09:45+08:00 ] /Index/index | INFO: Tag[ app_begin ] --START--
[ 2014-10-30T10:09:45+08:00 ] /Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003894s ]
[ 2014-10-30T10:09:45+08:00 ] /Index/index | INFO: Run CheckLang Behavior [ RunTime:0.005322s ]
[ 2014-10-30T10:09:45+08:00 ] /Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011027s ]
[ 2014-10-30T10:09:46+08:00 ] /Index/index | SQL: SHOW COLUMNS FROM `lj_menu` [ RunTime:0.028680s ]
[ 2014-10-30T10:09:46+08:00 ] /Index/index | SQL: SELECT `id`,`name`,`url`,`child` FROM `lj_menu` WHERE status=1 ORDER BY sort asc  [ RunTime:0.000639s ]
[ 2014-10-30T10:09:46+08:00 ] /Index/index | SQL: SHOW COLUMNS FROM `lj_rbac_node` [ RunTime:0.016644s ]
