[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.004243s ]
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.005421s ]
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003426s ]
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Run CheckLang Behavior [ RunTime:0.005433s ]
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010675s ]
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.016120s ]
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.017318s ]
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.147528s ]
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.148872s ]
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.032830s ]
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.012545s ]
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.036836s ]
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.019448s ]
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.105503s ]
[ 2014-11-03T09:47:21+08:00 ] /Admin/Public/login | INFO: Tag[ view_end ] --START--
